Track,Driver,Team,Starting Grid,Year,Target_Tier
3,20,15,10,2022,1
21,8,6,11,2022,2
20,19,9,20,2021,2
34,36,7,10,2022,1
23,37,23,5,2024,1
22,4,12,1,2022,1
1,26,28,20,2022,2
30,11,17,4,2024,1
28,25,13,19,2021,2
26,4,12,19,2021,2
30,36,7,16,2022,2
9,20,16,15,2019,2
22,7,6,10,2022,2
30,3,12,6,2024,1
8,24,23,1,2023,0
16,18,1,13,2021,1
18,8,8,21,2026,2
29,1,1,10,2019,1
20,35,13,18,2019,2
30,24,24,2,2022,0
1,32,6,10,2023,2
2,36,12,3,2019,1
34,11,28,20,2021,2
32,21,17,11,2021,1
28,38,14,16,2024,2
15,38,17,1,2019,0
15,20,15,2,2023,0
29,20,16,9,2019,1
6,7,26,6,2020,1
28,38,0,8,2022,2
1,32,2,12,2021,1
3,36,12,9,2019,1
29,11,17,1,2025,0
1,3,12,16,2023,2
21,3,28,6,2025,1
22,1,1,18,2019,2
3,29,3,20,2023,2
10,3,16,10,2020,1
20,11,17,8,2023,1
34,18,1,17,2019,2
29,4,12,3,2023,1
30,12,0,13,2023,1
17,0,22,8,2019,1
15,24,22,4,2019,1
22,31,15,11,2023,1
5,27,13,10,2024,2
21,3,12,3,2023,1
32,16,13,13,2020,2
32,39,2,9,2021,2
28,19,7,5,2023,2
30,24,22,4,2019,0
5,25,13,18,2021,2
34,16,13,17,2023,2
20,17,17,6,2025,1
6,4,12,13,2020,2
22,36,9,8,2021,1
5,3,16,7,2019,2
32,26,28,18,2020,2
20,21,17,3,2019,0
28,3,12,3,2022,0
18,31,15,3,2026,0
3,0,28,12,2025,2
9,13,19,7,2025,2
11,4,12,2,2022,1
11,16,13,8,2022,1
7,7,6,14,2023,1
16,23,28,20,2023,2
5,38,0,6,2022,1
31,24,22,1,2021,0
25,11,17,4,2025,1
17,16,13,11,2019,2
9,15,6,18,2025,2
15,32,4,11,2022,2
28,12,14,20,2024,2
26,20,16,8,2020,2
29,19,7,15,2025,2
2,21,17,11,2024,2
15,3,12,5,2023,1
2,30,13,12,2026,1
34,0,28,8,2022,2
17,18,1,20,2019,2
20,27,13,10,2024,1
9,7,13,11,2025,1
14,11,28,17,2019,2
34,26,28,17,2022,2
29,21,17,3,2022,1
9,30,13,17,2025,1
28,21,17,7,2023,1
23,20,15,2,2025,2
6,11,17,6,2024,2
17,9,28,18,2024,2
7,4,12,2,2023,2
1,32,6,5,2024,1
4,9,6,16,2025,2
15,4,12,4,2021,0
24,7,26,11,2020,1
30,24,22,2,2021,0
7,21,17,14,2024,1
30,31,15,9,2023,2
6,26,28,19,2020,2
17,26,28,13,2021,2
3,38,17,5,2021,0
5,5,18,14,2024,2
6,32,6,12,2023,2
24,26,28,18,2021,2
20,1,1,11,2021,2
1,19,9,13,2021,2
15,24,22,3,2020,0
29,38,0,15,2022,2
8,27,13,5,2023,2
4,26,28,18,2022,2
6,39,3,11,2023,1
22,0,28,13,2023,2
21,39,3,17,2023,2
14,34,28,18,2019,1
